chainId,chain_name,shortName
1,Ethereum Mainnet,eth
56,BNB Smart Chain Mainnet,bsc
42161,Arbitrum One,arb
8453,Base,base
23888,Blast Testnet,blastT
81457,Blast,blastmainnet
43114,Avalanche C-Chain,avax
137,Polygon Mainnet,matic
59144,Linea,linea
10,OP Mainnet,op
25,Cronos Mainnet,cro
5000,Mantle,mnt
200901,Bitlayer Mainnet,btr
6001,BounceBit Mainnet,bb
100,Gnosis,xdai
369,PulseChain,pls
314,Filecoin - Mainnet,filecoin
2222,Kava,kava
30,Rootstock Mainnet,rsk
1116,Core Blockchain Mainnet,core
250,Fantom Opera,ftm
32659,Fusion Mainnet,fsn
42220,Celo Mainnet,celo
324,zkSync Mainnet,era
1088,Metis Andromeda Mainnet,metis-andromeda
169,Manta Pacific Mainnet,manta
592,Astar,astr
252,Fraxtal,frax
60808,BOB,bob
4689,IoTeX Network Mainnet,iotx
40,Telos EVM Mainnet,TelosEVM
1284,Moonbeam,mobm
14,Flare Mainnet,flr
1030,Conflux eSpace,cfx
1313161554,Aurora Mainnet,aurora
1101,Polygon zkEVM,zkevm
7700,Canto,canto
13371,Immutable zkEVM,imx
167000,Taiko Mainnet,tko-mainnet
88888,Chiliz Chain,chiliz
50,XDC Network,xdc
1975,ONUS Chain Mainnet,onus-mainnet
9790,Carbon EVM,carbon
1285,Moonriver,mriver
10000,Smart Bitcoin Cash,smartbch
66,OKXChain Mainnet,okt
82,Meter Mainnet,Meter
888888,Vision - Mainnet,vision
888,Wanchain,wan
20,Elastos Smart Chain,esc
32769,Zilliqa EVM,zil
288,Boba Network,Boba
7000,ZetaChain Mainnet,zetachain-mainnet
4337,Beam,beam
19,Songbird Canary-Network,sgb
2000,Dogechain Mainnet,dc
52,CoinEx Smart Chain Mainnet,cet
361,Theta Mainnet,theta-mainnet
122,Fuse Mainnet,fuse
1666600000,Harmony Mainnet Shard 0,hmy-s0
321,KCC Mainnet,kcs
17777,EOS EVM Network,eos
9001,Evmos,evmos
1231,Ultron Mainnet,ulx
128,Huobi ECO Chain Mainnet,heco
42170,Arbitrum Nova,arb-nova
245022934,Neon EVM Mainnet,neonevm-mainnet
248,Oasys Mainnet,OAS
106,Velas EVM Mainnet,vlx
2001,Milkomeda C1 Mainnet,milkAda
42262,Oasis Emerald,emerald
108,ThunderCore Mainnet,TT
1996,Sanko,Sanko
570,Rollux Mainnet,sys-rollux
7777777,Zora,zora
7225878,Saakuru Mainnet,saakuru
56288,Boba BNB Mainnet,BobaBnb
61,Ethereum Classic,etc
119,ENULS Mainnet,enuls
44,Crab Network,crab
246,Energy Web Chain,ewt
204,opBNB Mainnet,obnb
7171,Bitrock Mainnet,bitrock
5551,Nahmii 2 Mainnet,Nahmii
42793,Etherlink Mainnet,etlk
1234,Step Network,step
6969,Tomb Chain Mainnet,tombchain
16507,Genesys Mainnet,Genesys
71402,Godwoken Mainnet,gw-mainnet-v1
15551,LoopNetwork Mainnet,loop
24,KardiaChain Mainnet,kardiachain
311,Omax Mainnet,omax
7070,Planq Mainnet,planq
336,Shiden,sdn
8899,JIBCHAIN L1,jbc
57,Syscoin Mainnet,sys
47805,REI Network,REI
820,Callisto Mainnet,clo
269,High Performance Blockchain,hpb
60,GoChain,go
1729,Reya Network,reya
32520,Bitgert Mainnet,Brise
1559,Tenet,tenet
55555,REI Chain Mainnet,reichain
11297108109,Palm,palm
2,Expanse Network,exp
3,Ropsten,rop
4,Rinkeby,rin
5,Goerli,gor
7,ThaiChain,tch
8,Ubiq,ubq
9,Ubiq Network Testnet,tubq
11,Metadium Mainnet,meta
12,Metadium Testnet,kal
13,Diode Testnet Staging,dstg
15,Diode Prenet,diode
16,Songbird Testnet Coston,cflr
17,ThaiChain 2.0 ThaiFi,tfi
18,ThunderCore Testnet,TST
21,Elastos Smart Chain Testnet,esct
22,ELA-DID-Sidechain Mainnet,eladid
23,ELA-DID-Sidechain Testnet,eladidt
26,Genesis L1 testnet,L1test
27,ShibaChain,shib
29,Genesis L1,L1
31,Rootstock Testnet,trsk
32,GoodData Testnet,GooDT
33,GoodData Mainnet,GooD
34,SecureChain Mainnet,scai
35,TBWG Chain,tbwg
36,Dxchain Mainnet,dx
37,Xpla Mainnet,xpla
38,Valorbit,val
39,U2U Solaris Mainnet,u2u
41,Telos EVM Testnet,TelosEVMTestnet
42,LUKSO Mainnet,lukso
43,Darwinia Pangolin Testnet,pangolin
45,Darwinia Pangoro Testnet,pangoro
46,Darwinia Network,darwinia
47,Acria IntelliChain,aic
48,Ennothem Mainnet Proterozoic,etmp
49,Ennothem Testnet Pioneer,etmpTest
51,XDC Apothem Network,txdc
53,CoinEx Smart Chain Testnet,tcet
54,Openpiece Mainnet,OP
55,Zyx Mainnet,ZYX
58,Ontology Mainnet,OntologyMainnet
63,Mordor Testnet,metc
64,Ellaism,ellaism
65,OKExChain Testnet,tokt
67,DBChain Testnet,dbm
68,SoterOne Mainnet,SO1
69,Optimism Kovan,okov
70,Hoo Smart Chain,hsc
71,Conflux eSpace (Testnet),cfxtest
72,DxChain Testnet,dxc
73,FNCY,FNCY
74,IDChain Mainnet,idchain
75,Decimal Smart Chain Mainnet,DSC
76,Mix,mix
